ID_Producto_Generado,Marca,Nombre_Producto,Precio_MXN,Moneda,URL_Imagen_Principal,Genero,Categoria_Producto,Coleccion_Fuente
PB-M-7152575802,Pull & Bear,Playera mesh gráfico STWD,849,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/7152/575/802/7152575802_4_1_8.jpg,Hombre,Playera,Novedades
PB-M-3661546711,Pull & Bear,Jeans pierna ancha flocados,1999,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/3661/546/711/3661546711_4_1_8.jpg,Hombre,Jeans,Novedades
PB-M-7152574802,Pull & Bear,Playera gráfico STWD,749,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/7152/574/802/7152574802_4_1_8.jpg,Hombre,Playera,Novedades
PB-M-7931512015,Pull & Bear,Gorro beanie rayas,249,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/7931/512/015/7931512015_4_1_8.jpg,Hombre,Gorro/Accesorio,Novedades
PB-M-2001640124,Pull & Bear,Botas con cordones STWD,1499,MXN,https://static.pullandbear.net/2/photos/2025/I/1/2/p/2001/640/124/2001640124_4_1_8.jpg,Hombre,Botas,Novedades
PB-M-7687530427,Pull & Bear,Jeans pierna ancha digital print,1399,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/7687/530/427/7687530427_4_1_8.jpg,Hombre,Jeans,Novedades
PB-M-7560595428,Pull & Bear,Hoodie STWD rotos,999,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/7560/595/428/7560595428_4_1_8.jpg,Hombre,Hoodie/Sudadera,Novedades
PB-M-7152579800,Pull & Bear,Playera logo STWD,479,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/7152/579/800/7152579800_4_1_8.jpg,Hombre,Playera,Novedades
PB-M-7152578600,Pull & Bear,Playera fútbol STWD Studio,849,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/7152/578/600/7152578600_4_1_8.jpg,Hombre,Playera,Novedades
PB-M-7550558401,Pull & Bear,Polo punto gráfico STWD,1199,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/7550/558/401/7550558401_4_1_8.jpg,Hombre,Polo,Novedades
PB-M-7687531427,Pull & Bear,Jeans pierna ancha efecto láser,1499,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/7687/531/427/7687531427_4_1_8.jpg,Hombre,Jeans,Novedades
PB-M-7152577400,Pull & Bear,Playera fútbol STWD cuadros,849,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/7152/577/400/7152577400_4_1_8.jpg,Hombre,Playera,Novedades
PB-M-2424640025,Pull & Bear,Mocasines volumen borlas,1199,MXN,https://static.pullandbear.net/2/photos/2025/I/1/2/p/2424/640/025/2424640025_4_1_8.jpg,Hombre,Mocasines,Novedades
PB-M-7561521445,Pull & Bear,Sudadera con capucha y costuras,999,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/7561/521/445/7561521445_4_1_8.jpg,Hombre,Sudadera,Novedades
PB-M-7700549033,Pull & Bear,Chamarra suave de cuadros,999,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/7700/549/033/7700549033_4_1_8.jpg,Hombre,Chamarra,Novedades
PB-M-2027440040,Pull & Bear,Botas acordonadas,899,MXN,https://static.pullandbear.net/2/photos/2025/I/1/2/p/2027/440/040/2027440040_4_1_8.jpg,Hombre,Botas,Novedades
PB-M-7700508800,Pull & Bear,Chamarra doble faz combinada,1199,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/7700/508/800/7700508800_4_1_8.jpg,Hombre,Chamarra,Novedades
PB-M-2438640040,Pull & Bear,Mocasines flecos,1399,MXN,https://static.pullandbear.net/2/photos/2026/V/1/2/p/2438/640/040/2438640040_4_1_8.jpg,Hombre,Mocasines,Novedades
PB-M-7700555800,Pull & Bear,Chamarra bomber efecto piel bordado,1499,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/7700/555/800/7700555800_4_1_8.jpg,Hombre,Chamarra,Novedades
PB-M-3550514600,Pull & Bear,Hoodie STWD,849,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/3550/514/600/3550514600_4_1_8.jpg,Hombre,Hoodie/Sudadera,Novedades
PB-M-3671504800,Pull & Bear,Pantalón pants globo,849,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/3671/504/800/3671504800_4_1_8.jpg,Hombre,Pantalón,Novedades
PB-M-7560710800,Pull & Bear,Sudadera con capucha STWD con cremallera,999,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/7560/710/800/7560710800_4_1_8.jpg,Hombre,Sudadera,Novedades
PB-M-7560579251,Pull & Bear,Sudadera blanca gráfico,949,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/7560/579/251/7560579251_4_1_8.jpg,Hombre,Sudadera,Novedades
